code,name,kind1
000040,KR모터스,운수장비
064960,S&T모티브,운수장비
003570,S&T중공업,운수장비
001380,SG충방,운수장비
123700,SJM,운수장비
214330,금호에이치티,운수장비
000270,기아차,운수장비
009320,대우부품,운수장비
042660,대우조선해양,운수장비
000430,대원강업,운수장비
002880,대유에이텍,운수장비
000300,대유플러스,운수장비
015230,대창단조,운수장비
024900,덕양산업,운수장비
001620,동국실업,운수장비
018500,동원금속,운수장비
016740,두올,운수장비
092200,디아이씨,운수장비
204320,만도,운수장비
009680,모토닉,운수장비
005030,부산주공,운수장비
006660,삼성공조,운수장비
010140,삼성중공업,운수장비
010145,삼성중공우,운수장비
023000,삼원강재,운수장비
041650,상신브레이크,운수장비
075180,새론오토모티브,운수장비
200880,서연이화,운수장비
021820,세원정공,운수장비
033530,세종공업,운수장비
075580,세진중공업,운수장비
003620,쌍용차,운수장비
005850,에스엘,운수장비
012280,영화금속,운수장비
002920,유성기업,운수장비
023800,인지컨트롤스,운수장비
023810,인팩,운수장비
013870,지엠비코리아,운수장비
010580,지코,운수장비
033250,체시스,운수장비
004100,태양금속,운수장비
004105,태양금속우,운수장비
001420,태원물산,운수장비
090080,평화산업,운수장비
010100,한국프랜지,운수장비
047810,한국항공우주,운수장비
012450,한화테크윈,운수장비
064350,현대로템,운수장비
012330,현대모비스,운수장비
010620,현대미포조선,운수장비
011210,현대위아,운수장비
009540,현대중공업,운수장비
005380,현대차,운수장비
005387,현대차2우B,운수장비
005389,현대차3우B,운수장비
005385,현대차우,운수장비
013520,화승알앤에이,운수장비
010690,화신,운수장비
